Zeitung newspaper
entschuldigung sorry
Mittagessen lunch
Zitrone lemon
benutzen use
arbeiten work
unterstützen support
gestalten design
Stunde hour
Zeitspanne period
Generation generation
Eltern parents
Student student
Sekretärin secretary
Kapitän captain
traditionell traditional
interessant interesting
unterschreiben sign
retten save
studieren study
anbieten offer
beinhalten include
präsentieren present
anhalten stop
berücksichtigen consider
antworten answer
vertrauen trust
ansonsten else
Restaurant restaurant
Strand beach
entlang along
Standort site
Abteilung department
Garten garden
Stadion stadium
unten bottom
Westen west
Osten east
Geldtasche wallet
Stiftung foundation
Italienisch Italian
Deutschland Germany
international international
enthalten contain
respektieren respect
zustimmen agree
beobachten watch
herstellen produce
importieren import
exportieren export
weitermachen continue
erstellen create
Präsentation presentation
Vorbereitung preparation
Bedeutung meaning
gestern yesterday
mieten rent
platzieren place
Dienstleistung service
Bestellung order
Ausrüstung equipment
Leistung performance
Option option
Herstellung production
Verstand mind
Alternative alternative
verstehen understand
entwickeln develop
sterben die
akzeptieren accept
warten wait
existieren exist
vorbereiten prepare
entdecken discover
Situation situation
Anstrengung effort
Vertrauen faith
Richtung direction
Verhalten behavior
Position position
Existenz existence
Verantwortung responsibility
Tradition tradition
Einstellung attitude
Schatten shadow
Stern star
Stein stone
Spielstand score
Marathon marathon
Instrument instrument
Information information
Kommunikation communication
Nachrichten news
Internet Internet
Patient patient
Operation operation
Zustand condition
national national
Nation nation
Investition investment
Entscheidung decision
verhaften arrest
Edition edition
Entfernung distance
Veröffentlichung publication
Definition definition
Entdeckung discovery
Untersuchung investigation
Vorstand board
Kosten costs
Organisation organization
Unternehmen company
Aktion action
